resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Senior data analyst with 6 years of experience in business intelligence and dashboarding. Strong focus on data-driven decision making. Skills: SQL, Python, Power BI, Tableau, Data Modeling, ETL, Excel, Statistics, Reporting, Visualization. Senior Analyst, DataInsights (2019-present): Built executive dashboards improving decision speed by 30%, automated ETL pipelines. Data Analyst, BizMetrics (2016-2019): Delivered reports and insights. Education: B.Sc Statistics, Delhi University.","Senior Business Intelligence Analyst at enterprise firm. Required skills: SQL, Power BI or Tableau, ETL, data modeling, reporting. Responsibilities: build dashboards, analyze business data, deliver insights. Preferred: large dataset experience.",0.9,high,high,60,30
"Full stack developer with 5 years of experience building scalable web applications. Strong expertise in frontend and backend technologies. Skills: JavaScript, React, Node.js, MongoDB, Express, REST APIs, Docker, AWS, Git, CI/CD. Full Stack Engineer, WebCore (2020-present): Built end-to-end applications, improved performance by 25%. Developer, AppWorks (2018-2020): Developed features across stack. Education: B.Tech CS, IIIT Delhi.","Full Stack Engineer at startup. Required skills: React, Node.js, MongoDB, REST APIs, Docker. Responsibilities: build scalable applications, integrate APIs, maintain codebase.",0.92,high,high,55,21
"Cybersecurity analyst with 5 years of experience in threat monitoring and vulnerability management. Strong focus on security operations. Skills: SIEM, Splunk, Network Security, Risk Assessment, Incident Response, Python, Firewalls, IDS/IPS, Linux. Security Analyst, SecureTech (2020-present): Detected threats and reduced incidents by 30%, implemented SIEM solutions. Analyst, CyberGuard (2018-2020): Monitored vulnerabilities. Education: B.Tech IT, NIT Jaipur.","Cybersecurity Analyst at enterprise firm. Required skills: SIEM, network security, incident response, Python, risk assessment. Responsibilities: monitor threats, manage vulnerabilities, respond to incidents.",0.88,high,high,55,23
"Sales manager with 7 years of experience in B2B sales and revenue growth. Strong leadership and negotiation skills. Skills: Sales Strategy, CRM, Lead Generation, Negotiation, Forecasting, Communication, Team Leadership, B2B Sales. Sales Manager, SellPro (2019-present): Increased revenue by 40%, led sales team of 8. Sales Executive, BizSales (2016-2019): Closed enterprise deals. Education: MBA, IIM Indore.","Sales Manager at SaaS company. Required skills: CRM, B2B sales, negotiation, forecasting, team leadership. Responsibilities: drive sales targets, manage team, close deals.",0.91,high,high,55,22
"Healthcare analyst with 4 years of experience analyzing patient data and hospital metrics. Strong focus on insights and reporting. Skills: SQL, Python, Healthcare Analytics, Data Visualization, Excel, Reporting, Statistics, Data Cleaning. Analyst, MediAnalytics (2021-present): Built dashboards for hospital KPIs. Analyst, HealthData (2019-2021): Analyzed patient trends. Education: B.Sc Statistics, AIIMS.","Healthcare Data Analyst at hospital network. Required skills: SQL, Python, data visualization, reporting, healthcare data. Responsibilities: analyze patient data, build dashboards, generate insights.",0.87,high,high,49,23
"Software engineer with 5 years of experience building backend systems and APIs for SaaS platforms. Strong focus on scalability and clean architecture. Skills: Python, Django, FastAPI, PostgreSQL, Redis, Docker, AWS, REST APIs, Microservices, Git, CI/CD. Backend Engineer, SaaSify (2020-present): Built scalable APIs handling 15K requests/sec, reduced latency by 25%. Software Engineer, CodeWorks (2018-2020): Developed backend modules and integrations. Education: B.Tech Computer Science, NIT Delhi.","Backend Engineer at SaaS startup. Required skills: Python, Django, PostgreSQL, Redis, Docker, AWS, REST APIs. Responsibilities: build APIs, optimize performance, maintain backend systems. Preferred: microservices experience.",0.9,high,high,64,26
"Data scientist with 4 years of experience in predictive analytics and machine learning. Strong expertise in data modeling and experimentation. Skills: Python, Scikit-learn, TensorFlow, SQL, Pandas, NumPy, Feature Engineering, A/B Testing, Statistics, Data Visualization. Data Scientist, InsightAI (2021-present): Built predictive models improving accuracy by 20%. Analyst, DataLab (2019-2021): Conducted data analysis and reporting. Education: M.Sc Data Science, IIT Delhi.","Data Scientist at analytics firm. Required skills: Python, ML, SQL, feature engineering, A/B testing. Responsibilities: build models, analyze datasets, run experiments. Preferred: industry experience.",0.88,high,high,59,24
"Product manager with 6 years of experience in digital products and agile environments. Strong focus on user experience and growth. Skills: Product Strategy, Agile, Roadmapping, SQL, Analytics, User Research, A/B Testing, Stakeholder Management, Jira. Product Manager, AppFlow (2020-present): Increased user retention by 30%, launched new features. Associate PM, TechSuite (2017-2020): Managed product backlog. Education: MBA, IIM Lucknow.","Product Manager at tech company. Required skills: product strategy, agile, analytics, SQL, user research. Responsibilities: define roadmap, collaborate with teams, improve product metrics.",0.89,high,high,57,23
"DevOps engineer with 5 years of experience in cloud infrastructure and CI/CD pipelines. Strong in automation and reliability. Skills: AWS, Docker, Kubernetes, Terraform, Jenkins, CI/CD, Linux, Monitoring, Git, Networking. DevOps Engineer, CloudOps (2021-present): Automated deployments reducing time by 40%, managed Kubernetes clusters. Systems Engineer, InfraTech (2019-2021): Maintained infrastructure. Education: B.Tech IT, VIT.","DevOps Engineer at cloud startup. Required skills: AWS, Kubernetes, Docker, Terraform, CI/CD. Responsibilities: automate deployments, manage infrastructure, ensure uptime.",0.91,high,high,52,19
"UI UX designer with 4 years of experience designing web and mobile interfaces. Strong in usability and research. Skills: Figma, Adobe XD, Prototyping, Wireframing, User Research, Usability Testing, Interaction Design, Design Systems. Designer, UXLab (2021-present): Improved UX increasing engagement by 20%. UI Designer, CreativeHub (2019-2021): Built design components. Education: B.Des, NID.","UX Designer at product company. Required skills: Figma, prototyping, user research, usability testing. Responsibilities: design interfaces, improve user experience.",0.87,high,high,51,19
